MemTotal:        7843800 kB
MemFree:         7680280 kB
MemAvailable:    7630788 kB
Buffers:            4396 kB
Cached:            42664 kB
SwapCached:            0 kB
Active:            10744 kB
Inactive:          47376 kB
Active(anon):        264 kB
Inactive(anon):    19912 kB
Active(file):      10480 kB
Inactive(file):    27464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:         11108 kB
Mapped:            13464 kB
Shmem:              9116 kB
KReclaimable:      29736 kB
Slab:              61396 kB
SReclaimable:      29736 kB
SUnreclaim:        31660 kB
KernelStack:        2660 kB
PageTables:          672 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3921900 kB
Committed_AS:      24264 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4600 kB
VmallocChunk:          0 kB
Percpu:             2176 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           29696 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
